COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
           Q_WC_X_04	    1	      1,000,000	      752,277,000	        1,329,298	  13	    9	   3,894	     783	     8	          1,000	         14,000	         91,000	        201,000	      1,004,000
           Q_WC_X_08	    1	      1,000,000	      982,456,000	        1,017,857	  13	   10	   4,408	   1,837	    13	          1,000	        110,000	        233,000	        456,000	      4,358,000
           Q_WC_X_16	    1	      1,000,000	    1,139,925,000	          877,251	  13	   12	   5,138	   3,294	     0	          1,000	        187,000	        424,000	      1,705,000	     36,699,000

             Q_WC_01	    2	      1,000,000	    1,138,120,000	          878,642	  13	    8	   1,770	     353	    72	          1,000	          4,000	          8,000	         14,000	        664,000
             Q_WC_02	    2	      1,000,000	    1,577,066,000	          634,089	  13	    8	   2,489	   1,496	     1	          1,000	          4,000	          7,000	         13,000	        671,000
             Q_WC_04	    2	      1,000,000	    9,829,047,000	          101,739	  14	    8	  10,485	  19,204	     0	          1,000	         14,000	         22,000	         31,000	        814,000
             Q_WC_08	    2	      1,000,000	   19,450,706,000	           51,412	  15	   10	  18,896	  40,504	     0	          2,000	         23,000	         30,000	         39,000	         95,000
             Q_WC_16	    2	      1,000,000	   24,535,402,000	           40,757	  16	   11	  23,023	  51,806	    37	          2,000	         28,000	         37,000	         48,000	        920,000
           Q_WC_X_01	    2	      1,000,000	    1,152,651,000	          867,565	  13	    8	   1,792	     357	     0	          1,000	          4,000	          8,000	         14,000	        703,000
           Q_WC_X_02	    2	      1,000,000	      943,139,000	        1,060,289	  13	    8	   2,812	     631	    34	          1,000	          5,000	         11,000	         29,000	        764,000
           Q_WC_X_04	    2	      1,000,000	      863,996,000	        1,157,413	  13	    9	   4,430	   1,590	     0	          1,000	          8,000	         18,000	         30,000	        908,000
           Q_WC_X_08	    2	      1,000,000	      992,856,000	        1,007,195	  13	   10	   4,693	   2,019	   111	          1,000	         94,000	        199,000	        413,000	      2,224,000
           Q_WC_X_16	    2	      1,000,000	    1,162,081,000	          860,525	  13	   13	   5,484	   3,359	    39	          2,000	        207,000	        308,000	        547,000	      7,360,000

             Q_WC_01	    3	      1,000,000	    1,194,641,000	          837,072	  13	    9	   1,860	     371	     0	          1,000	          4,000	          9,000	         18,000	        722,000
             Q_WC_02	    3	      1,000,000	    1,672,948,000	          597,747	  13	    8	   2,650	   1,588	    32	          1,000	          4,000	          8,000	         12,000	        777,000
             Q_WC_04	    3	      1,000,000	   10,058,023,000	           99,423	  14	    9	  10,784	  19,676	     0	              0	         14,000	         22,000	         32,000	        761,000
             Q_WC_08	    3	      1,000,000	   19,657,806,000	           50,870	  15	    9	  19,240	  41,706	     0	          1,000	         24,000	         31,000	         44,000	        422,000
             Q_WC_16	    3	      1,000,000	   24,721,595,000	           40,450	  16	   11	  23,680	  53,545	     0	              0	         28,000	         36,000	         48,000	        821,000
           Q_WC_X_01	    3	      1,000,000	    1,151,745,000	          868,248	  13	    9	   1,800	     349	     1	          1,000	          4,000	          8,000	         15,000	        727,000
           Q_WC_X_02	    3	      1,000,000	      904,962,000	        1,105,019	  13	    8	   2,690	     619	    33	          1,000	          5,000	          9,000	         22,000	        738,000
           Q_WC_X_04	    3	      1,000,000	      827,969,000	        1,207,775	  13	    8	   4,243	   1,411	    32	          1,000	          8,000	         18,000	         32,000	        904,000
           Q_WC_X_08	    3	      1,000,000	      931,886,000	        1,073,093	  13	   11	   4,429	   1,512	    38	          1,000	         99,000	        208,000	        459,000	      2,727,000
           Q_WC_X_16	    3	      1,000,000	    1,393,057,000	          717,846	  13	   14	   5,987	   4,799	     1	          1,000	        201,000	        620,000	      2,640,000	     56,607,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.type=disruptor-latest, Q.disruptor.lite-blocking=true, Q.batch-size=100, Q.disruptor.timeout=0}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,277,729,000	          782,639	  13	    9	   2,312	     456	   485	          4,000	         13,000	         23,000	        123,000	      1,986,000
             Q_WC_02	    1	      1,000,000	    1,256,847,000	          795,642	  13	    7	   2,303	     494	   426	          4,000	         19,000	         31,000	        246,000	        822,000
             Q_WC_04	    1	      1,000,000	    1,217,726,000	          821,203	  13	    8	   2,043	     568	   182	          4,000	         31,000	         55,000	         82,000	        882,000
