COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms
           R_MEM_01k	    2	      1,000,000	        4,732,000	      211,327,134	   0	    0	       5	       1	     0
           R_MEM_01m	    2	      1,000,000	        7,266,000	      137,627,305	   0	    0	       8	       0	     0
           R_MEM_10m	    2	      1,000,000	       25,664,000	       38,965,087	   0	    0	      26	       0	     0
           R_MEM_50m	    2	      1,000,000	       32,745,000	       30,539,014	   0	    0	      33	       0	     0
           S_MEM_01k	    2	      1,000,000	        4,451,000	      224,668,614	   0	    0	       5	       0	     0
           S_MEM_01m	    2	      1,000,000	        2,938,000	      340,367,597	   0	    0	       3	       0	     0
           S_MEM_10m	    2	      1,000,000	        2,888,000	      346,260,388	   0	    0	       3	       0	     0
           S_MEM_50m	    2	      1,000,000	        4,424,000	      226,039,783	   0	    0	       4	       0	     0

         BATCH_WC_01	    3	      1,000,000	      763,218,000	        1,310,242	   1	    2	     773	       2	     0
         BATCH_WC_02	    3	      1,000,000	      391,715,000	        2,552,876	   1	    2	     788	       2	 2,379
         BATCH_WC_04	    3	      1,000,000	      224,143,000	        4,461,438	   1	    2	     880	       3	     0
         BATCH_WC_08	    3	      1,000,000	      200,864,000	        4,978,493	   1	    2	   1,542	       4	     0
         BATCH_WC_16	    3	      1,000,000	      202,851,000	        4,929,727	   1	    2	   1,491	       4	     0
     GEN_SENTENCES_1	    3	      1,000,000	       11,077,000	       90,277,151	   0	    0	      11	       0	     0
              NOOP_1	    3	      1,000,000	            1,000	1,000,000,000,000	   0	    0	       0	       0	     0
       PSUDO_Q_RR_01	    3	      1,000,000	       62,478,000	       16,005,634	   0	    0	      62	       0	     0
       PSUDO_Q_RR_02	    3	      1,000,000	       63,090,000	       15,850,372	   0	    0	      67	       0	     0
       PSUDO_Q_RR_04	    3	      1,000,000	       67,413,000	       14,833,934	   0	    0	      81	       0	     0
       PSUDO_Q_RR_08	    3	      1,000,000	       69,335,000	       14,422,730	   0	    0	     121	       1	    21
       PSUDO_Q_RR_16	    3	      1,000,000	       95,006,000	       10,525,651	   0	    0	     135	       1	     0
           Q_PIPE_01	    3	      1,000,000	      253,114,000	        3,950,789	   0	    0	     325	     114	     0
           Q_PIPE_02	    3	      1,000,000	      271,811,000	        3,679,027	   0	    0	     447	     156	     0
           Q_PIPE_04	    3	      1,000,000	      243,089,000	        4,113,720	   0	    0	     493	     273	     0
           Q_PIPE_08	    3	      1,000,000	      279,823,000	        3,573,688	   0	    0	   1,072	     529	     0
           Q_PIPE_16	    3	      1,000,000	      304,104,000	        3,288,349	   0	    0	   1,783	     524	     0
      Q_RR_B_0001_01	    3	      1,000,000	      233,804,000	        4,277,087	   0	    0	     275	     128	     0
      Q_RR_B_0001_02	    3	      1,000,000	      495,054,000	        2,019,982	   0	    0	     440	     598	     0
      Q_RR_B_0001_04	    3	      1,000,000	    1,725,573,000	          579,518	   0	    0	   1,557	   3,702	     0
      Q_RR_B_0001_08	    3	      1,000,000	    2,439,192,000	          409,972	   0	    0	   2,339	   5,614	     0
      Q_RR_B_0001_16	    3	      1,000,000	    2,453,245,000	          407,623	   0	    0	   2,400	   5,818	     0
      Q_RR_B_0010_01	    3	      1,000,000	      251,983,000	        3,968,522	   0	    0	     341	     122	 2,313
      Q_RR_B_0010_02	    3	      1,000,000	      306,471,000	        3,262,951	   0	    0	     311	     362	 2,266
      Q_RR_B_0010_04	    3	      1,000,000	      263,061,000	        3,801,400	   0	    0	     284	     473	     0
      Q_RR_B_0010_08	    3	      1,000,000	      266,772,000	        3,748,519	   0	    0	     292	     484	     0
      Q_RR_B_0010_16	    3	      1,000,000	      268,632,000	        3,722,565	   0	    0	     292	     494	     0
      Q_RR_B_0100_01	    3	      1,000,000	      252,301,000	        3,963,520	   0	    0	     306	     127	     0
      Q_RR_B_0100_02	    3	      1,000,000	      190,039,000	        5,262,078	   0	    0	     225	     121	     0
      Q_RR_B_0100_04	    3	      1,000,000	      214,005,000	        4,672,788	   0	    0	     290	     111	     0
      Q_RR_B_0100_08	    3	      1,000,000	      199,180,000	        5,020,584	   0	    0	     255	     115	     0
      Q_RR_B_0100_16	    3	      1,000,000	      203,593,000	        4,911,760	   0	    0	     267	     114	     0
      Q_RR_B_1000_01	    3	      1,000,000	      236,454,000	        4,229,152	   0	    0	     266	     134	     0
      Q_RR_B_1000_02	    3	      1,000,000	      231,622,000	        4,317,379	   0	    0	     262	     133	 2,274
      Q_RR_B_1000_04	    3	      1,000,000	      277,719,000	        3,600,762	   0	    0	     388	     111	     0
      Q_RR_B_1000_08	    3	      1,000,000	      276,367,000	        3,618,377	   0	    0	     384	     113	     0
      Q_RR_B_1000_16	    3	      1,000,000	      295,545,000	        3,383,579	   0	    0	     432	     106	     0
    Q_RR_X_B_0001_01	    3	      1,000,000	      249,523,000	        4,007,647	   0	    0	     312	     124	     0
    Q_RR_X_B_0001_02	    3	      1,000,000	      228,411,000	        4,378,073	   0	    0	     286	     346	     0
    Q_RR_X_B_0001_04	    3	      1,000,000	      226,960,000	        4,406,063	   0	    0	     440	     749	     0
    Q_RR_X_B_0001_08	    3	      1,000,000	      285,918,000	        3,497,506	   0	    0	     782	   1,291	     0
    Q_RR_X_B_0001_16	    3	      1,000,000	      257,085,000	        3,889,764	   0	    0	     723	   1,251	     0
    Q_RR_X_B_0010_01	    3	      1,000,000	      224,471,000	        4,454,918	   0	    0	     258	     126	     0
    Q_RR_X_B_0010_02	    3	      1,000,000	      162,065,000	        6,170,364	   0	    0	     232	     237	     0
    Q_RR_X_B_0010_04	    3	      1,000,000	      350,835,000	        2,850,343	   0	    0	     611	     654	     0
    Q_RR_X_B_0010_08	    3	      1,000,000	      225,413,000	        4,436,301	   0	    0	     506	     538	     0
    Q_RR_X_B_0010_16	    3	      1,000,000	       61,394,000	       16,288,237	   0	    0	     230	     169	     0
    Q_RR_X_B_0100_01	    3	      1,000,000	      229,359,000	        4,359,977	   0	    0	     259	     132	     0
    Q_RR_X_B_0100_02	    3	      1,000,000	      129,577,000	        7,717,419	   0	    0	     212	     145	     0
    Q_RR_X_B_0100_04	    3	      1,000,000	      213,313,000	        4,687,947	   0	    0	     396	     310	     0
    Q_RR_X_B_0100_08	    3	      1,000,000	      134,938,000	        7,410,811	   0	    0	     329	     221	     0
    Q_RR_X_B_0100_16	    3	      1,000,000	       25,402,000	       39,366,979	   0	    0	     141	      36	     3
    Q_RR_X_B_1000_01	    3	      1,000,000	      249,572,000	        4,006,860	   0	    0	     305	     125	     0
    Q_RR_X_B_1000_02	    3	      1,000,000	      164,982,000	        6,061,267	   0	    0	     321	     148	     0
    Q_RR_X_B_1000_04	    3	      1,000,000	      190,987,000	        5,235,958	   0	    0	     407	     243	     0
    Q_RR_X_B_1000_08	    3	      1,000,000	       84,404,000	       11,847,780	   0	    0	     299	     130	    12
    Q_RR_X_B_1000_16	    3	      1,000,000	       62,448,000	       16,013,323	   0	    0	     236	      97	     0
             Q_WC_01	    3	      1,000,000	    2,751,219,000	          363,475	   2	    4	   3,009	   1,702	     0
             Q_WC_02	    3	      1,000,000	    5,497,566,000	          181,899	   2	    4	   5,259	   6,758	     0
             Q_WC_04	    3	      1,000,000	   12,298,291,000	           81,312	   2	    4	  12,262	  24,361	 2,335
             Q_WC_08	    3	      1,000,000	   20,605,597,000	           48,531	   3	    7	  21,164	  47,080	     0
             Q_WC_16	    3	      1,000,000	   25,138,169,000	           39,780	   3	    6	  25,630	  57,982	     0
           Q_WC_X_01	    3	      1,000,000	    2,766,245,000	          361,501	   2	    4	   3,021	   1,709	     0
           Q_WC_X_02	    3	      1,000,000	    2,195,126,000	          455,555	   2	    4	   3,807	   2,963	     0
           Q_WC_X_04	    3	      1,000,000	    2,973,118,000	          336,347	   2	    3	   7,382	   8,139	     0
           Q_WC_X_08	    3	      1,000,000	    2,512,442,000	          398,019	   2	    5	   8,051	   8,459	     0
           Q_WC_X_16	    3	      1,000,000	    2,572,904,000	          388,666	   2	    4	   8,422	  10,725	     0
           R_MEM_01k	    3	      1,000,000	        4,772,000	      209,555,742	   0	    0	       4	       0	     0
           R_MEM_01m	    3	      1,000,000	        7,373,000	      135,630,001	   0	    0	       7	       0	     0
           R_MEM_10m	    3	      1,000,000	       26,214,000	       38,147,555	   0	    0	      26	       0	     0
           R_MEM_50m	    3	      1,000,000	       28,737,000	       34,798,344	   0	    0	      29	       0	 2,301
           S_MEM_01k	    3	      1,000,000	        3,924,000	      254,841,998	   0	    0	       4	       1	     0
           S_MEM_01m	    3	      1,000,000	        4,525,000	      220,994,475	   0	    0	       4	       0	     0
           S_MEM_10m	    3	      1,000,000	        4,456,000	      224,416,517	   0	    0	       5	       0	     0
           S_MEM_50m	    3	      1,000,000	        2,849,000	      351,000,351	   0	    0	       3	       0	     0

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.type=disruptor-latest}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms
         BATCH_WC_01	    1	      1,000,000	      850,840,000	        1,175,309	   9	    6	     997	      37	   157
         BATCH_WC_02	    1	      1,000,000	      402,157,000	        2,486,591	   9	    5	     831	       6	    19
         BATCH_WC_04	    1	      1,000,000	      243,956,000	        4,099,100	   9	    5	     962	       8	     0
         BATCH_WC_08	    1	      1,000,000	      211,781,000	        4,721,859	   9	    5	   1,550	       9	    19
         BATCH_WC_16	    1	      1,000,000	      210,037,000	        4,761,066	   9	    5	   1,448	      11	     1
     GEN_SENTENCES_1	    1	      1,000,000	       19,486,000	       51,318,896	   0	    0	      27	       0	     7
              NOOP_1	    1	      1,000,000	        6,251,000	      159,974,404	   0	    0	       8	       0	     2
       PSUDO_Q_RR_01	    1	      1,000,000	       89,664,000	       11,152,748	   0	    1	     342	       4	    74
       PSUDO_Q_RR_02	    1	      1,000,000	       43,217,000	       23,139,043	   0	    0	      67	       1	    18
       PSUDO_Q_RR_04	    1	      1,000,000	       59,210,000	       16,889,039	   0	    0	     185	       2	     0
       PSUDO_Q_RR_08	    1	      1,000,000	       60,264,000	       16,593,655	   0	    0	      91	       1	     0
       PSUDO_Q_RR_16	    1	      1,000,000	      100,235,000	        9,976,555	   0	    0	     143	       2	     1
           Q_PIPE_01	    1	      1,000,000	      228,275,000	        4,380,681	   0	    1	   1,047	      45	 2,468
           Q_PIPE_02	    1	      1,000,000	      184,663,000	        5,415,270	   0	    0	     387	      89	 5,098
           Q_PIPE_04	    1	      1,000,000	      202,690,000	        4,933,643	   0	    0	     939	     183	     0
           Q_PIPE_08	    1	      1,000,000	      199,659,000	        5,008,540	   0	    0	     798	     293	     0
           Q_PIPE_16	    1	      1,000,000	      230,984,000	        4,329,304	   0	    0	   1,553	     237	     0
      Q_RR_B_0001_01	    1	      1,000,000	      279,458,000	        3,578,355	   0	    0	     494	      77	 4,994
      Q_RR_B_0001_02	    1	      1,000,000	      250,616,000	        3,990,168	   0	    0	     771	     228	 2,221
      Q_RR_B_0001_04	    1	      1,000,000	    1,287,176,000	          776,895	   0	    0	   1,201	   2,804	     0
      Q_RR_B_0001_08	    1	      1,000,000	    2,388,026,000	          418,756	   0	    0	   7,049	   6,232	 2,160
      Q_RR_B_0001_16	    1	      1,000,000	    2,480,094,000	          403,211	   0	    7	   3,560	   5,941	 4,884
      Q_RR_B_0010_01	    1	      1,000,000	      215,901,000	        4,631,753	   0	    0	     346	      55	     0
      Q_RR_B_0010_02	    1	      1,000,000	      160,106,000	        6,245,862	   0	    0	     468	     181	     0
      Q_RR_B_0010_04	    1	      1,000,000	      257,730,000	        3,880,029	   0	    0	     282	     487	     0
